date_key,full_date,year,quarter,month,month_name,day
1,2016-09-04,2016,3,9,September,4
2,2016-09-05,2016,3,9,September,5
3,2016-09-13,2016,3,9,September,13
4,2016-09-15,2016,3,9,September,15
5,2016-10-02,2016,4,10,October,2
6,2016-10-03,2016,4,10,October,3
7,2016-10-04,2016,4,10,October,4
8,2016-10-05,2016,4,10,October,5
9,2016-10-06,2016,4,10,October,6
10,2016-10-07,2016,4,10,October,7
11,2016-10-08,2016,4,10,October,8
12,2016-10-09,2016,4,10,October,9
13,2016-10-10,2016,4,10,October,10
14,2016-10-15,2016,4,10,October,15
15,2016-10-16,2016,4,10,October,16
16,2016-10-18,2016,4,10,October,18
17,2016-10-19,2016,4,10,October,19
18,2016-10-20,2016,4,10,October,20
19,2016-10-21,2016,4,10,October,21
20,2016-10-22,2016,4,10,October,22
21,2016-10-23,2016,4,10,October,23
22,2016-10-24,2016,4,10,October,24
23,2016-10-25,2016,4,10,October,25
24,2016-10-26,2016,4,10,October,26
25,2016-10-27,2016,4,10,October,27
26,2016-10-28,2016,4,10,October,28
27,2016-10-29,2016,4,10,October,29
28,2016-10-30,2016,4,10,October,30
29,2016-10-31,2016,4,10,October,31
30,2016-11-01,2016,4,11,November,1
31,2016-11-02,2016,4,11,November,2
32,2016-11-04,2016,4,11,November,4
33,2016-11-05,2016,4,11,November,5
34,2016-11-06,2016,4,11,November,6
35,2016-11-08,2016,4,11,November,8
36,2016-11-09,2016,4,11,November,9
37,2016-11-10,2016,4,11,November,10
38,2016-11-11,2016,4,11,November,11
39,2016-11-15,2016,4,11,November,15
40,2016-11-17,2016,4,11,November,17
41,2016-11-18,2016,4,11,November,18
42,2016-11-19,2016,4,11,November,19
43,2016-11-20,2016,4,11,November,20
44,2016-11-23,2016,4,11,November,23
45,2016-11-25,2016,4,11,November,25
46,2016-11-26,2016,4,11,November,26
47,2016-11-27,2016,4,11,November,27
48,2016-11-29,2016,4,11,November,29
49,2016-11-30,2016,4,11,November,30
50,2016-12-01,2016,4,12,December,1
51,2016-12-02,2016,4,12,December,2
52,2016-12-03,2016,4,12,December,3
53,2016-12-04,2016,4,12,December,4
54,2016-12-07,2016,4,12,December,7
55,2016-12-08,2016,4,12,December,8
56,2016-12-09,2016,4,12,December,9
57,2016-12-10,2016,4,12,December,10
58,2016-12-11,2016,4,12,December,11
59,2016-12-14,2016,4,12,December,14
60,2016-12-16,2016,4,12,December,16
61,2016-12-23,2016,4,12,December,23
62,2016-12-25,2016,4,12,December,25
63,2016-12-29,2016,4,12,December,29
64,2017-01-04,2017,1,1,January,4
65,2017-01-05,2017,1,1,January,5
66,2017-01-06,2017,1,1,January,6
67,2017-01-07,2017,1,1,January,7
68,2017-01-08,2017,1,1,January,8
69,2017-01-09,2017,1,1,January,9
70,2017-01-10,2017,1,1,January,10
71,2017-01-11,2017,1,1,January,11
72,2017-01-12,2017,1,1,January,12
73,2017-01-13,2017,1,1,January,13
74,2017-01-14,2017,1,1,January,14
75,2017-01-15,2017,1,1,January,15
76,2017-01-16,2017,1,1,January,16
77,2017-01-17,2017,1,1,January,17
78,2017-01-18,2017,1,1,January,18
79,2017-01-19,2017,1,1,January,19
80,2017-01-20,2017,1,1,January,20
81,2017-01-21,2017,1,1,January,21
82,2017-01-22,2017,1,1,January,22
83,2017-01-23,2017,1,1,January,23
84,2017-01-24,2017,1,1,January,24
85,2017-01-25,2017,1,1,January,25
86,2017-01-26,2017,1,1,January,26
87,2017-01-27,2017,1,1,January,27
88,2017-01-28,2017,1,1,January,28
89,2017-01-29,2017,1,1,January,29
90,2017-01-30,2017,1,1,January,30
91,2017-01-31,2017,1,1,January,31
92,2017-02-01,2017,1,2,February,1
93,2017-02-02,2017,1,2,February,2
94,2017-02-03,2017,1,2,February,3
95,2017-02-04,2017,1,2,February,4
96,2017-02-05,2017,1,2,February,5
97,2017-02-06,2017,1,2,February,6
98,2017-02-07,2017,1,2,February,7
99,2017-02-08,2017,1,2,February,8
100,2017-02-09,2017,1,2,February,9
101,2017-02-10,2017,1,2,February,10
102,2017-02-11,2017,1,2,February,11
103,2017-02-12,2017,1,2,February,12
104,2017-02-13,2017,1,2,February,13
105,2017-02-14,2017,1,2,February,14
106,2017-02-15,2017,1,2,February,15
107,2017-02-16,2017,1,2,February,16
108,2017-02-17,2017,1,2,February,17
109,2017-02-18,2017,1,2,February,18
110,2017-02-19,2017,1,2,February,19
111,2017-02-20,2017,1,2,February,20
112,2017-02-21,2017,1,2,February,21
113,2017-02-22,2017,1,2,February,22
114,2017-02-23,2017,1,2,February,23
115,2017-02-24,2017,1,2,February,24
116,2017-02-25,2017,1,2,February,25
117,2017-02-26,2017,1,2,February,26
118,2017-02-27,2017,1,2,February,27
119,2017-02-28,2017,1,2,February,28
120,2017-03-01,2017,1,3,March,1
121,2017-03-02,2017,1,3,March,2
122,2017-03-03,2017,1,3,March,3
123,2017-03-04,2017,1,3,March,4
124,2017-03-05,2017,1,3,March,5
125,2017-03-06,2017,1,3,March,6
126,2017-03-07,2017,1,3,March,7
127,2017-03-08,2017,1,3,March,8
128,2017-03-09,2017,1,3,March,9
129,2017-03-10,2017,1,3,March,10
130,2017-03-11,2017,1,3,March,11
131,2017-03-12,2017,1,3,March,12
132,2017-03-13,2017,1,3,March,13
133,2017-03-14,2017,1,3,March,14
134,2017-03-15,2017,1,3,March,15
135,2017-03-16,2017,1,3,March,16
136,2017-03-17,2017,1,3,March,17
137,2017-03-18,2017,1,3,March,18
138,2017-03-19,2017,1,3,March,19
139,2017-03-20,2017,1,3,March,20
140,2017-03-21,2017,1,3,March,21
141,2017-03-22,2017,1,3,March,22
142,2017-03-23,2017,1,3,March,23
143,2017-03-24,2017,1,3,March,24
144,2017-03-25,2017,1,3,March,25
145,2017-03-26,2017,1,3,March,26
146,2017-03-27,2017,1,3,March,27
147,2017-03-28,2017,1,3,March,28
148,2017-03-29,2017,1,3,March,29
149,2017-03-30,2017,1,3,March,30
150,2017-03-31,2017,1,3,March,31
151,2017-04-01,2017,2,4,April,1
152,2017-04-02,2017,2,4,April,2
153,2017-04-03,2017,2,4,April,3
154,2017-04-04,2017,2,4,April,4
155,2017-04-05,2017,2,4,April,5
156,2017-04-06,2017,2,4,April,6
157,2017-04-07,2017,2,4,April,7
158,2017-04-08,2017,2,4,April,8
159,2017-04-09,2017,2,4,April,9
160,2017-04-10,2017,2,4,April,10
161,2017-04-11,2017,2,4,April,11
162,2017-04-12,2017,2,4,April,12
163,2017-04-13,2017,2,4,April,13
164,2017-04-14,2017,2,4,April,14
165,2017-04-15,2017,2,4,April,15
166,2017-04-16,2017,2,4,April,16
167,2017-04-17,2017,2,4,April,17
168,2017-04-18,2017,2,4,April,18
169,2017-04-19,2017,2,4,April,19
170,2017-04-20,2017,2,4,April,20
171,2017-04-21,2017,2,4,April,21
172,2017-04-22,2017,2,4,April,22
173,2017-04-23,2017,2,4,April,23
174,2017-04-24,2017,2,4,April,24
175,2017-04-25,2017,2,4,April,25
176,2017-04-26,2017,2,4,April,26
177,2017-04-27,2017,2,4,April,27
178,2017-04-28,2017,2,4,April,28
179,2017-04-29,2017,2,4,April,29
180,2017-04-30,2017,2,4,April,30
181,2017-05-01,2017,2,5,May,1
182,2017-05-02,2017,2,5,May,2
183,2017-05-03,2017,2,5,May,3
184,2017-05-04,2017,2,5,May,4
185,2017-05-05,2017,2,5,May,5
186,2017-05-06,2017,2,5,May,6
187,2017-05-07,2017,2,5,May,7
188,2017-05-08,2017,2,5,May,8
189,2017-05-09,2017,2,5,May,9
190,2017-05-10,2017,2,5,May,10
191,2017-05-11,2017,2,5,May,11
192,2017-05-12,2017,2,5,May,12
193,2017-05-13,2017,2,5,May,13
194,2017-05-14,2017,2,5,May,14
195,2017-05-15,2017,2,5,May,15
196,2017-05-16,2017,2,5,May,16
197,2017-05-17,2017,2,5,May,17
198,2017-05-18,2017,2,5,May,18
199,2017-05-19,2017,2,5,May,19
200,2017-05-20,2017,2,5,May,20
201,2017-05-21,2017,2,5,May,21
202,2017-05-22,2017,2,5,May,22
203,2017-05-23,2017,2,5,May,23
204,2017-05-24,2017,2,5,May,24
205,2017-05-25,2017,2,5,May,25
206,2017-05-26,2017,2,5,May,26
207,2017-05-27,2017,2,5,May,27
208,2017-05-28,2017,2,5,May,28
209,2017-05-29,2017,2,5,May,29
210,2017-05-30,2017,2,5,May,30
211,2017-05-31,2017,2,5,May,31
212,2017-06-01,2017,2,6,June,1
213,2017-06-02,2017,2,6,June,2
214,2017-06-03,2017,2,6,June,3
215,2017-06-04,2017,2,6,June,4
216,2017-06-05,2017,2,6,June,5
217,2017-06-06,2017,2,6,June,6
218,2017-06-07,2017,2,6,June,7
219,2017-06-08,2017,2,6,June,8
220,2017-06-09,2017,2,6,June,9
221,2017-06-10,2017,2,6,June,10
222,2017-06-11,2017,2,6,June,11
223,2017-06-12,2017,2,6,June,12
224,2017-06-13,2017,2,6,June,13
225,2017-06-14,2017,2,6,June,14
226,2017-06-15,2017,2,6,June,15
227,2017-06-16,2017,2,6,June,16
228,2017-06-17,2017,2,6,June,17
229,2017-06-18,2017,2,6,June,18
230,2017-06-19,2017,2,6,June,19
231,2017-06-20,2017,2,6,June,20
232,2017-06-21,2017,2,6,June,21
233,2017-06-22,2017,2,6,June,22
234,2017-06-23,2017,2,6,June,23
235,2017-06-24,2017,2,6,June,24
236,2017-06-25,2017,2,6,June,25
237,2017-06-26,2017,2,6,June,26
238,2017-06-27,2017,2,6,June,27
239,2017-06-28,2017,2,6,June,28
240,2017-06-29,2017,2,6,June,29
241,2017-06-30,2017,2,6,June,30
242,2017-07-01,2017,3,7,July,1
243,2017-07-02,2017,3,7,July,2
244,2017-07-03,2017,3,7,July,3
245,2017-07-04,2017,3,7,July,4
246,2017-07-05,2017,3,7,July,5
247,2017-07-06,2017,3,7,July,6
248,2017-07-07,2017,3,7,July,7
